IncidentYear,IncidentMonth,IncidentDateRange,IncidentDateStart,IncidentDateEnd,What,Where,EventCategory,EventCategory2,ApparentGoal1,ApparentGoal2,TargetType,TargetType2,For discussion,Note
2022,Does not apply,Yes,January,December,Ongoing attempt to map offshore comms/energy infrastructure in North Sea / Baltic,North Sea; Baltic Sea,Sabotage (preparation),Does not apply,Degrade energy supply / communications infrastructure,Does not apply,Energy / communications infrastructure,Does not apply,No,Ongoing for years.
2023,Does not apply,Yes,January,December,Ongoing attempt to map offshore comms/energy infrastructure in North Sea / Baltic,North Sea; Baltic Sea,Sabotage (preparation),Does not apply,Degrade energy supply / communications infrastructure,Does not apply,Energy / communications infrastructure,Does not apply,No,Ongoing for years.
2024,Does not apply,Yes,January,December,Ongoing attempt to map offshore comms/energy infrastructure in North Sea / Baltic,North Sea; Baltic Sea,Sabotage (preparation),Does not apply,Degrade energy supply / communications infrastructure,Does not apply,Energy / communications infrastructure,Does not apply,No,Ongoing for years.
2023,October,No,DNA,DNA,Gas & telecom cables Finland - Estonia damaged / NewNew Polar Bear incident,Baltic Sea,Sabotage,Does not apply,Degrade energy supply / communications infrastructure,Does not apply,Energy / communications infrastructure,Does not apply,No,
2024,January,Yes,Jan-24,Unknown,Sending illegal immigrants towards Finland,Finland,Disruptive immigration,Does not apply,Disrupt daily life,Does not apply,Border,Does not apply,No,
2024,April,No,DNA,DNA,Two Russian spies arrested for spionage US bases & planning sabotage military transport routes,Germany,Sabotage (preparation),Does not apply,Disrupt (military) aid to Ukraine,Does not apply,Arms deliveries to Ukraine,Military / weapons production infrastructure,No,
2024,May,No,DNA,DNA,"Shopping mall fire in Warsaw, Poland",Poland,Sabotage,Does not apply,Disrupt daily life,Inflict economic damage,Shopping center / Public Space / Memorial / Landmark,Does not apply,No,
2024,January,No,DNA,DNA,"Arson attempt on paint factory / fuel depot Wroclaw, Poland",Poland,Sabotage,Does not apply,Inflict economic damage,Does not apply,Energy / communications infrastructure,Does not apply,No,
2024,May,No,DNA,DNA,Arson attack IKEA Vilnius,Lithuania,Sabotage,Does not apply,Disrupt daily life,Inflict economic damage,Shopping center / Public Space / Memorial / Landmark,Does not apply,No,
2024,April,No,DNA,DNA,Pole Pawel K. arrested for involvement in plot to assassinate Zelensky.,Poland,Assassination (plot),Does not apply,Kill politician / head of state / opposition member,Does not apply,Politician(s),Does not apply,No,
2024,March,No,DNA,DNA,Assassination attempt on Leonid Volkov,Lithuania,Assassination (attempt),Does not apply,Kill politician / head of state / opposition member,Does not apply,Politician(s),Does not apply,No,
2024,May,No,DNA,DNA,Arson Berlin metal factory used for weapons production / Diehl Metall,Germany,Sabotage,Does not apply,Disrupt (military) aid to Ukraine,Does not apply,Military / weapons production infrastructure,Does not apply,No,
2023,Unknown,Yes,Dec-22,May-23,Explosives cache found near NATO pipeline in Germany,Germany,Sabotage (preparation),Does not apply,Degrade military infrastructure,Does not apply,Military / weapons production infrastructure,Does not apply,No,
2024,July,No,DNA,DNA,"Incendiary device placed on plane, ignites in DHL warehouse UK",United Kingdom,Sabotage,Terrorism,Disrupt daily life,Inflict economic damage,Civil aviation,Transport infrastructure,No,
2024,July,No,DNA,DNA,"Incendiary device about to be loaded on plane, ignites in DHL warehouse Germany",Germany,Sabotage,Terrorism,Disrupt daily life,Inflict economic damage,Civil aviation,Transport infrastructure,No,
2024,March,No,DNA,DNA,Arson attack on Ukraine-linked business in East London,United Kingdom,Sabotage,Does not apply,Disrupt (military) aid to Ukraine,Does not apply,Transport infrastructure,Does not apply,No,
2024,Unknown,No,DNA,DNA,Thwarted plot to kill Rheinmetall CEO Armin Papperger,Germany,Assassination (plot),Does not apply,Disrupt (military) aid to Ukraine,Does not apply,Industrialist(s),Does not apply,No,
2024,November,No,DNA,DNA,Russian GPS jamming of Finish airports,Finland,Sabotage,Does not apply,Disrupt (civil) aviation,Does not apply,Civil aviation,Does not apply,No,
2024,February,No,DNA,DNA,Russians kill defected pilot in Spain,Spain,Assassination,Does not apply,Dissuade defection,Does not apply,Defector(s),Does not apply,No,
2024,March,No,DNA,DNA,"Arson attack on Ukraine-linked business in Fuenlabrada, outskirts Madrid, linked to London attack",Spain,Sabotage,Does not apply,Disrupt (military) aid to Ukraine,Does not apply,Transport infrastructure,Does not apply,No,"No official allegations of Russian involvement, but included because it fits pattern with earlier arson attack against premises of the same Ukrainian business in London"
2024,June,No,DNA,DNA,Arson attempt on buses in Prague,Czechia,Sabotage (attempt),Does not apply,Disrupt daily life,Does not apply,Transport infrastructure,Does not apply,No,
2024,October,No,DNA,DNA,Intrusion into Swedish water treatment plant,Sweden,Sabotage (preparation),Does not apply,Compromise public utilities,Disrupt daily life,Public services,Does not apply,No,
2024,August,No,DNA,DNA,Hole cut in fence around water treatment plant near Cologne,Germany,Sabotage (preparation),Does not apply,Compromise public utilities,Disrupt daily life,Public services,Does not apply,No,
2022,May,No,DNA,DNA,"Spionage of Lielvarde military airfield, near Rembate, Latvia",Latvia,Sabotage (preparation),Does not apply,Degrade military infrastructure,Does not apply,Military / weapons production infrastructure,Does not apply,No,
2024,Unknown,No,DNA,DNA,Descecration of memorial sites in Estonia,Estonia,Vandalism,Does not apply,Disrupt daily life,Does not apply,Memorial sites / Landmarks,Does not apply,No,
2023,December,No,DNA,DNA,Vandalizing car of Estonian interior minister,Estonia,Vandalism,Does not apply,Disrupt daily life,Does not apply,Politician(s),Does not apply,No,
2023,December,No,DNA,DNA,Vandalizing car of Estonian journalist,Estonia,Vandalism,Does not apply,Disrupt daily life,Does not apply,Journalist(s),Does not apply,No,
2024,February,No,DNA,DNA,Arson attempt Latvian Museum of Occupation,Latvia,Vandalism,Does not apply,Disrupt daily life,Does not apply,Shopping center / Public Space / Memorial / Landmark,Does not apply,No,
2022,April,No,DNA,DNA,"Spraypainting 'KILLNET HACKED YOU' on Cyber Defence Centre, Tallinn",Estonia,Vandalism,Does not apply,Disrupt daily life,Does not apply,Military / weapons production infrastructure,Does not apply,No,
2023,Does not apply,Yes,Aug-23,Unknown,GPS jamming & spoofing over Baltic Sea. As well as near Black Sea,Baltic Sea; Finland; Latvia; Lithuania; Poland; Romania; Bulgaria,Sabotage,Does not apply,Disrupt (civil) aviation,Does not apply,Civil aviation,Does not apply,No,
2024,Does not apply,Yes,Aug-23,Unknown,GPS jamming & spoofing over Baltic Sea. As well as near Black Sea,Baltic Sea; Finland; Latvia; Lithuania; Poland; Romania; Bulgaria,Sabotage,Does not apply,Disrupt (civil) aviation,Does not apply,Civil aviation,Does not apply,No,
2024,July,No,DNA,DNA,Russian arrested on suspicion of plot to destabilize Olympics,France,Unknown,Does not apply,Disrupt daily life,Does not apply,Shopping center / Public Space / Memorial / Landmark,Does not apply,No,
2024,June,No,DNA,DNA,Five coffins with French flag & 'French soldiers in Ukraine' near Eiffel tower,France,Influence operation,Does not apply,Disrupt (military) aid to Ukraine,Does not apply,Shopping center / Public Space / Memorial / Landmark,Does not apply,No,
2024,June,No,DNA,DNA,"Russian-Ukrainian man arrested in Paris with explosives, intended to target hardware store",France,Sabotage (preparation),Does not apply,Inflict economic damage,Disrupt daily life,Shopping center / Public Space / Memorial / Landmark,Does not apply,No,
2023,September,Yes,Sep-23,Jun-24,Pro-Russian campaign to influence 2024 EU parliamentary elections by Jean-Luc Schaffhauser,France,Influence operation,Does not apply,Compromise domestic / EU politics,Disrupt (military) aid to Ukraine,Politician(s),Does not apply,No,
2024,January,Yes,Jan-24,Jun-24,Pro-Russian campaign to influence 2024 EU parliamentary elections by Jean-Luc Schaffhauser,France,Influence operation,Does not apply,Compromise domestic / EU politics,Disrupt (military) aid to Ukraine,Politician(s),Does not apply,No,
2023,Unknown,Yes,2023,Jun-24,"Voice of Europe, cash payments to anti-establishment politicians, Russian attempt to influence EU Parliament elections",Germany;Belgium;France;Czechia;Netherlands;,Influence operation,Does not apply,Compromise domestic / EU politics,Disrupt (military) aid to Ukraine,Politician(s),Does not apply,No,
2024,Unknown,Yes,Jan-24,Jun-24,"Voice of Europe, cash payments to anti-establishment politicians, Russian attempt to influence EU Parliament elections",Germany;Belgium;France;Czechia;Netherlands;,Influence operation,Does not apply,Compromise domestic / EU politics,Disrupt (military) aid to Ukraine,Politician(s),Does not apply,No,
2024,November,No,DNA,DNA,"Undersea cables between Finland & Germany, Sweden & Latvia cut, sabotage probable / Yi Peng 3 incident",Baltic Sea,Sabotage,Does not apply,Degrade energy supply / communications infrastructure,Does not apply,Energy / communications infrastructure,Does not apply,No,Chinese ship appears to have carried out sabotage on behest of / under pressure by Russian authorities
2024,January,No,DNA,DNA,Monument to Lativan partisan leader defaced with paint,Latvia,Vandalism,Does not apply,Disrupt daily life,Does not apply,Shopping center / Public Space / Memorial / Landmark,Does not apply,No,
2023,November,No,DNA,DNA,"Stars of David graffiti in Paris, suspected Russian influence op",France,Vandalism,Does not apply,Disrupt daily life,Does not apply,Shopping center / Public Space / Memorial / Landmark,Does not apply,No,
2024,January,No,DNA,DNA,"Cyber Army of Russia Reborn infiltrates wastewater facility Poland, village of Wydminy",Poland,Sabotage (attempt),Does not apply,Compromise public utilities,Disrupt daily life,Public services,Does not apply,No,
2024,March,No,DNA,DNA,Cyber Army of Russia Reborn infiltrates water mill in France / hydroelectric dam Sur Yvonne,France,Sabotage (attempt),Does not apply,Compromise public utilities,Disrupt daily life,Public services,Does not apply,No,
2023,March,No,DNA,DNA,"Arms factory fire / explosion in Karnobat, Bulgaria 2023",Bulgaria,Sabotage,Does not apply,Disrupt (military) aid to Ukraine,Does not apply,Military / weapons production infrastructure,Does not apply,No,
2022,July,No,DNA,DNA,"Arms factory fire / explosion in Karnobat, Bulgaria 2022",Bulgaria,Sabotage,Does not apply,Disrupt (military) aid to Ukraine,Does not apply,Military / weapons production infrastructure,Does not apply,No,
2023,Unknown,Yes,January,March,"Attempt to sabotage arms deliveries to Ukraine in Poland, plant cameras, recruit Ukrainian refugees",Poland,Sabotage (preparation),Does not apply,Disrupt (military) aid to Ukraine,Does not apply,Transport infrastructure,Does not apply,No,
2022,September,Yes,Sep-22,Dec-22,Building (far) left & (far) right-wing anti-war coaltion in Germany (Wagenknecht / AfD),Germany,Influence operation,Does not apply,Disrupt (military) aid to Ukraine,Compromise domestic / EU politics,Politician(s),Does not apply,No,
2023,January,Yes,Jan-22,Ongoing,Building (far) left & (far) right-wing anti-war coaltion in Germany (Wagenknecht / AfD),Germany,Influence operation,Does not apply,Disrupt (military) aid to Ukraine,Compromise domestic / EU politics,Politician(s),Does not apply,No,
2022,September,Yes,Sep-22,Oct-22,"Russian nationals flying drones over Norwegian airports, energy infrastructure, photographing",Norway,Sabotage (preparation),Does not apply,Degrade energy supply / communications infrastructure,Disrupt (civil) aviation,Energy / communications infrastructure,Civil aviation,No,
2023,November,Yes,Aug-23,Ongoing?,Russia sends large number immigrants towards Finish border,Finland,Disruptive immigration,Does not apply,Disrupt daily life,Does not apply,Border,Does not apply,No,
2024,Unknown,Yes,Unknown,Unkown,"Digital and/or physical break-ins Swedish arms manufacturers, potential sabotage prep / disruption",Sweden,Sabotage (preparation),Does not apply,Disrupt (military) aid to Ukraine,Does not apply,Military / weapons production infrastructure,Does not apply,No,
2024,August,Yes,Aug-24,Unknown,"Drone overflights of industrial & military sites in Germany, suspected sabotage prep",Germany,Sabotage (preparation),Does not apply,Degrade military infrastructure,Inflict economic damage,Military / weapons production infrastructure,Energy / communications infrastructure,No,
2024,May,No,DNA,DNA,Russia removes border buoys Estonian river Narva,Estonia,Vandalism,Does not apply,Disrupt daily life,Does not apply,Border,Does not apply,No,
2024,August,No,DNA,DNA,Planned / attempted sabotage attack against Geilenkirchen base with drones,Germany,Sabotage (attempt),Does not apply,Degrade military infrastructure,Does not apply,Military / weapons production infrastructure,Does not apply,No,
2024,June,Yes,Jun-24,Jul-24,11 break-ins in Finish water towers / treatment plants,Finland,Sabotage (preparation),Does not apply,Compromise public utilities,Does not apply,Public services,Does not apply,No,"Border-line case due to lack of authorities claiming probable Russian involvement. Included because it fits pattern of intrusions into water facilities in Sweden, Germany, Poland, France."
2024,December,Yes,Nov-24,Dec-24,"Russian interference in Romanian elections to back Calin Georgescu, who wants to end aid to Ukraine",Romania,Influence operation,Does not apply,Disrupt (military) aid to Ukraine,Compromise domestic / EU politics,Politician(s),Does not apply,No,
2024,December,No,DNA,DNA,Oil tanker Eagle S damages Estlink 2 power cable in Finish Gulf,Baltic S,Sabotage,Does not apply,Degrade energy supply / communications infrastructure,Does not apply,Energy / communications infrastructure,Does not apply,No,
2024,March,No,DNA,DNA,"Holocaust memorial in Paris vandalized with paint, pro-Palestinian red hands painted on memorial, police suspect Russia",France,Vandalism,Does not apply,Disrupt daily life,Does not apply,Shopping center / Public Space / Memorial / Landmark,Does not apply,No,
2024,March,No,DNA,DNA,"Multiple 'caution, balcony can collapse' sprayed on Paris balconies, playing on fear of such an incident during Olympics",France,Vandalism,Does not apply,Disrupt daily life,Does not apply,Shopping center / Public Space / Memorial / Landmark,Does not apply,No,
2024,May,No,DNA,DNA,"1.000+ fake bomb threats emailed to schools, banks in Slovakia",Slovakia,Terrorism,Does not apply,Disrupt daily life,Does not apply,Shopping center / Public Space / Memorial / Landmark,Does not apply,No,School as separate category? TBD. ALSO: evidence for RU involvement given in link under next item.
2024,September,No,DNA,DNA,"Hundreds of schools forced to close due to fake bomb threats per email. Head Czech secret service blames Ru, also for #61",Czechia,Terrorism,Does not apply,Disrupt daily life,Does not apply,Shopping center / Public Space / Memorial / Landmark,Does not apply,No,
2024,July,No,DNA,DNA,Explosive / inflammable parcel ignites in courier truck / storage site near Warsaw. Linked to perpetrators of DHL attacks,Poland,Sabotage,Does not apply,Inflict economic damage,Does not apply,Transport infrastructure,Does not apply,No,"Sabotage not terrorism, as unclear whether this was intended to go on a plane or not."
2024,July,No,DNA,DNA,"Colombian national engaged in sabotage preparations in Romania, targets appear to be economic / infrastructure related",Romania,Sabotage (preparation),Does not apply,Degrade energy supply / communications infrastructure,Inflict economic damage,Energy / communications infrastructure,Does not apply,No,